Date current as of 9/27/21,,,,,,,,
,,,,,,,,
CAMPUS,Payer/Plan Name,DRG/CPT/HCPCS Code,DRG/CPT/HCPCS Description,Gross Charge,Discounted Cash Price,Negotiated Charge,Minimum Negotiated Charge,Maximum Negotiated Charge
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,3,"ECMO or tracheostomy with MV >96 hours or principal
diagnosis except face, mouth and neck with major O.R.
procedures",Not Applicable,100% of Medicare,151448,151448,163303
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,3,"ECMO or tracheostomy with MV >96 hours or principal
diagnosis except face, mouth and neck with major O.R.
procedures",Not Applicable,100% of Medicare,163303,151448,163303
MSQ,NYSDOH,4,"Tracheostomy with MV >96 hours or principal diagnosis
except face, mouth and neck without major O.R. procedures",Not Applicable,100% of Medicare,127677,74891,134652
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS ESSENTIAL PLAN",4,"Tracheostomy with MV >96 hours or principal diagnosis
except face, mouth and neck without major O.R. procedures",Not Applicable,100% of Medicare,134652,74891,134652
MSQ,EH FACET EFT,4,"Tracheostomy with MV >96 hours or principal diagnosis
except face, mouth and neck without major O.R. procedures",Not Applicable,100% of Medicare,105226,74891,134652
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MCADVANTAGE MOSAIC CHOICE,4,"Tracheostomy with MV >96 hours or principal diagnosis
except face, mouth and neck without major O.R. procedures",Not Applicable,100% of Medicare,100804,74891,134652
MSQ,AETNA ELITE PPO NET 03397,4,"Tracheostomy with MV >96 hours or principal diagnosis
except face, mouth and neck without major O.R. procedures",Not Applicable,100% of Medicare,74891,74891,134652
MSQ,FIDELIS CARE NEW YORK - MEDICARE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,5,Liver transplant with MCC or intestinal transplant,Not Applicable,100% of Medicare,170565,80984,170565
MSQ,NYSDOH,5,Liver transplant with MCC or intestinal transplant,Not Applicable,100% of Medicare,80984,80984,170565
MSQ,VNF - IMAGENET,17,Autologous bone marrow transplant without CC/MCC,Not Applicable,100% of Medicare,18716,18716,18716
MSQ,NYSDOH,21,"Intracranial vascular procedures with principal diagnosis
hemorrhage with CC",Not Applicable,100% of Medicare,16290,16290,16290
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARECOMPLETE MOSAIC,23,"Craniotomy with major device implant or acute complex CNS
principal diagnosis with MCC or chemotherapy implant or
epilepsy with neurostimulator",Not Applicable,100% of Medicare,43878,43370,48740
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,23,"Craniotomy with major device implant or acute complex CNS
principal diagnosis with MCC or chemotherapy implant or
epilepsy with neurostimulator",Not Applicable,100% of Medicare,43370,43370,48740
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,23,"Craniotomy with major device implant or acute complex CNS
principal diagnosis with MCC or chemotherapy implant or
epilepsy with neurostimulator",Not Applicable,100% of Medicare,47619,43370,48740
MSQ,"WELLCARE OF NEW YORK, INC",23,"Craniotomy with major device implant or acute complex CNS
principal diagnosis with MCC or chemotherapy implant or
epilepsy with neurostimulator",Not Applicable,100% of Medicare,48740,43370,48740
MSQ,UNITEDHEALTHCARE SERVICES INC AND UHC NURSING HOME PLAN 1,23,"Craniotomy with major device implant or acute complex CNS
principal diagnosis with MCC or chemotherapy implant or
epilepsy with neurostimulator",Not Applicable,100% of Medicare,48269,43370,48740
MSQ,NYSDOH,24,"Craniotomy with major device implant or acute complex CNS
principal diagnosis without MCC",Not Applicable,100% of Medicare,20699,20699,33200
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,24,"Craniotomy with major device implant or acute complex CNS
principal diagnosis without MCC",Not Applicable,100% of Medicare,33200,20699,33200
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,24,"Craniotomy with major device implant or acute complex CNS
principal diagnosis without MCC",Not Applicable,100% of Medicare,32197,20699,33200
MSQ,VNF - IMAGENET,28,Spinal procedures with MCC,Not Applicable,100% of Medicare,13867,13867,13867
MSQ,FIDELIS CARE NEW YORK ESSENTIAL PLAN - ALIESSA,32,Ventricular shunt procedures with CC,Not Applicable,100% of Medicare,56670,56670,56670
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 2,35,Carotid artery stent procedures with CC,Not Applicable,100% of Medicare,18919,18919,18919
MSQ,EH FACET EFT,39,Extracranial procedures without CC/MCC,Not Applicable,100% of Medicare,24993,24993,24993
MSQ,AETNA MEDICARE (S01) ESA PPO PLAN NET 03397,40,"Peripheral, cranial nerve and other nervous system
procedures with MCC",Not Applicable,100% of Medicare,28108,28108,77267
MSQ,EH FACET EFT,40,"Peripheral, cranial nerve and other nervous system
procedures with MCC",Not Applicable,100% of Medicare,30003,28108,77267
MSQ,"WELLCARE OF NEW YORK, INC",40,"Peripheral, cranial nerve and other nervous system
procedures with MCC",Not Applicable,100% of Medicare,33226,28108,77267
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, IN",40,"Peripheral, cranial nerve and other nervous system
procedures with MCC",Not Applicable,100% of Medicare,77267,28108,77267
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,40,"Peripheral, cranial nerve and other nervous system
procedures with MCC",Not Applicable,100% of Medicare,30663,28108,77267
MSQ,EMPIRE HEALTHCHOICE HMO,41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",Not Applicable,100% of Medicare,39094,10520,39094
MSQ,"WELLCARE OF NEW YORK, INC",41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",Not Applicable,100% of Medicare,18987,10520,39094
MSQ,NYSDOH,41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",Not Applicable,100% of Medicare,10520,10520,39094
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARECOMPLETE PLAN 1,41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",Not Applicable,100% of Medicare,17934,10520,39094
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",Not Applicable,100% of Medicare,18239,10520,39094
MSQ,UNITEDHEALTHCARE SERVICES INC AND METLIFE,41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",Not Applicable,100% of Medicare,19599,10520,39094
MSQ,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,41,"Peripheral, cranial nerve and other nervous system
procedures with CC or peripheral neurostimulator",Not Applicable,100% of Medicare,23748,10520,39094
MSQ,NYSDOH,42,"Peripheral, cranial nerve and other nervous system
procedures without CC/MCC",Not Applicable,100% of Medicare,5328,5328,5328
MSQ,METROPLUS HEALTH PLAN,52,Spinal disorders and injuries with CC/MCC,Not Applicable,100% of Medicare,3290,3290,29927
MSQ,NYSDOH MM,52,Spinal disorders and injuries with CC/MCC,Not Applicable,100% of Medicare,29927,3290,29927
MSQ,NYSDOH,52,Spinal disorders and injuries with CC/MCC,Not Applicable,100% of Medicare,4179,3290,29927
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",53,Spinal disorders and injuries without CC/MCC,Not Applicable,100% of Medicare,5260,2918,8553
MSQ,NYSDOH,53,Spinal disorders and injuries without CC/MCC,Not Applicable,100% of Medicare,2918,2918,8553
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,53,Spinal disorders and injuries without CC/MCC,Not Applicable,100% of Medicare,8553,2918,8553
MSQ,METROPLUS ENHANCED (HARP),54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,100923,2911,102983
MSQ,METROPLUS ESSENTIAL PLAN,54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,102983,2911,102983
MSQ,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,5541,2911,102983
MSQ,FIDELIS CARE NEW YORK NEW YORK MEDICAID,54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,99893,2911,102983
MSQ,"WELLCARE OF NEW YORK, INC",54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,11381,2911,102983
MSQ,1199SEIU NATIONAL BENEFIT FUND,54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,89876,2911,102983
MSQ,NYSDOH,54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,2911,2911,102983
MSQ,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,15153,2911,102983
MSQ,AETNA AETNA CHOICE  POS II NET 00357,54,Nervous system neoplasms with MCC,Not Applicable,100% of Medicare,15111,2911,102983
MSQ,AETNA MTA NYCT OPTION 1 NET 03397,56,Degenerative nervous system disorders with MCC,Not Applicable,100% of Medicare,16009,14598,16552
MSQ,UNITEDHEALTHCARE SERVICES INC AND UHC MCARE ADVANTAGE CHOICE PL1,56,Degenerative nervous system disorders with MCC,Not Applicable,100% of Medicare,16552,14598,16552
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,56,Degenerative nervous system disorders with MCC,Not Applicable,100% of Medicare,14598,14598,16552
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,57,Degenerative nervous system disorders without MCC,Not Applicable,100% of Medicare,8575,8575,9428
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE MOSAIC,57,Degenerative nervous system disorders without MCC,Not Applicable,100% of Medicare,9428,8575,9428
MSQ,FIDELIS CARE NEW YORK - MEDICARE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,57,Degenerative nervous system disorders without MCC,Not Applicable,100% of Medicare,9048,8575,9428
MSQ,NYSDOH,58,Multiple sclerosis and cerebellar ataxia with MCC*,Not Applicable,100% of Medicare,5131,5131,5131
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,59,Multiple sclerosis and cerebellar ataxia with CC*,Not Applicable,100% of Medicare,7908,7173,11477
MSQ,AETNA OPEN ACCESS AETNA SELECT  8480 NET 01344,59,Multiple sclerosis and cerebellar ataxia with CC*,Not Applicable,100% of Medicare,11477,7173,11477
MSQ,EH FACET EFT,59,Multiple sclerosis and cerebellar ataxia with CC*,Not Applicable,100% of Medicare,7173,7173,11477
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,60,Multiple sclerosis and cerebellar ataxia without CC/MCC*,Not Applicable,100% of Medicare,6247,6247,6247
MSQ,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,61,"Ischemic stroke, precerebral occlusion or transient ischemia
with thrombolytic agent with MCC",Not Applicable,100% of Medicare,17798,17798,17988
MSQ,UNITEDHEALTHCARE SERVICES INC AND AARP MEDICARE ADVANTAGE PLAN 1,61,"Ischemic stroke, precerebral occlusion or transient ischemia
with thrombolytic agent with MCC",Not Applicable,100% of Medicare,17988,17798,17988
MSQ,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",62,"Ischemic stroke, precerebral occlusion or transient ischemia
with thrombolytic agent with CC",Not Applicable,100% of Medicare,32276,15546,32276
MSQ,EMPIRE HEALTHCHOICE ASSURANCE,62,"Ischemic stroke, precerebral occlusion or transient ischemia
with thrombolytic agent with CC",Not Applicable,100% of Medicare,15546,15546,32276
