Date current as of 9/27/21,,,,,,,,
,,,,,,,,
CAMPUS,Payer/Plan Name,DRG/CPT/HCPCS Code,DRG/CPT/HCPCS Description,Gross Charge,Discounted Cash Price,Negotiated Rate,Min Negotiated Rate,Max Negotiated Rate
NYEE,AETNA AETNA OPEN ACCESS  MANAGED CHOICE NET 00357,26,"Craniotomy and endovascular intracranial procedures with
CC",Not Applicable,100% of Medicare,51187,51187,72979
NYEE,OXFORD HEALTH PLANS NJ INC NEW JERSEY DSNP,26,"Craniotomy and endovascular intracranial procedures with
CC",Not Applicable,100% of Medicare,72979,51187,72979
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES,58,Multiple sclerosis and cerebellar ataxia with MCC*,Not Applicable,100% of Medicare,7243,7243,7243
NYEE,NYSDOH,70,Nonspecific cerebrovascular disorders with MCC,Not Applicable,100% of Medicare,3168,3168,3168
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,73,Cranial and peripheral nerve disorders with MCC*,Not Applicable,100% of Medicare,77009,77009,77009
NYEE,METROPLUS ENHANCED (HARP),80,Nontraumatic stupor and coma with MCC,Not Applicable,100% of Medicare,4942,1513,6656
NYEE,NYSDOH,80,Nontraumatic stupor and coma with MCC,Not Applicable,100% of Medicare,1513,1513,6656
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - NON ALIESSA,80,Nontraumatic stupor and coma with MCC,Not Applicable,100% of Medicare,6656,1513,6656
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,80,Nontraumatic stupor and coma with MCC,Not Applicable,100% of Medicare,5671,1513,6656
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",82,Traumatic stupor and coma >1 hour with MCC,Not Applicable,100% of Medicare,5266,5266,5266
NYEE,"WELLCARE OF CONNECTICUT, INC",87,Traumatic stupor and coma <1 hour without CC/MCC,Not Applicable,100% of Medicare,73221,73221,73221
NYEE,FIDELIS CARE NEW YORK ESSENTIAL PLAN - ALIESSA,91,Other disorders of nervous system with MCC*,Not Applicable,100% of Medicare,20964,20964,20964
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC,113,Orbital procedures with CC/MCC,Not Applicable,100% of Medicare,45794,45794,45794
NYEE,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",114,Orbital procedures without CC/MCC,Not Applicable,100% of Medicare,17421,17421,73512
NYEE,FIDELIS CARE NEW YORK - MEDICARE ADVANTAGE DUAL ELIGIBLE NETWORK - MEDICARE/MEDICAID,114,Orbital procedures without CC/MCC,Not Applicable,100% of Medicare,73512,17421,73512
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY DUAL COMPLETE,122,Acute major eye infections without CC/MCC,Not Applicable,100% of Medicare,71928,71928,71928
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,123,Neurological eye disorders,Not Applicable,100% of Medicare,2244,2244,2244
NYEE,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",135,Sinus and mastoid procedures with CC/MCC,Not Applicable,100% of Medicare,31764,31764,31764
NYEE,AETNA MEDICARE (P01) ESA PPO PLAN NET 03397,142,Major head and neck procedures without CC/MCC,Not Applicable,100% of Medicare,60708,60708,60708
NYEE,FIDELIS CARE NEW YORK NEW YORK MEDICAID,351,Inguinal and femoral hernia procedures with CC,Not Applicable,100% of Medicare,6272,6272,6272
NYEE,"HEALTHPLUS HP, LLC HEALTHPLUS MEDICAID",445,Disorders of the biliary tract with CC,Not Applicable,100% of Medicare,7302,2168,10398
NYEE,VNF - IMAGENET,445,Disorders of the biliary tract with CC,Not Applicable,100% of Medicare,10398,2168,10398
NYEE,NYSDOH,445,Disorders of the biliary tract with CC,Not Applicable,100% of Medicare,2168,2168,10398
NYEE,NYSDOH,446,Disorders of the biliary tract without CC/MCC,Not Applicable,100% of Medicare,2093,2093,2093
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,571,Skin debridement with CC,Not Applicable,100% of Medicare,38258,38258,38258
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,572,Skin debridement without CC/MCC,Not Applicable,100% of Medicare,24370,18845,24370
NYEE,AETNA AETNA HEALTHFUND  AETNA CHOICE  POS II NET 00357,572,Skin debridement without CC/MCC,Not Applicable,100% of Medicare,18845,18845,24370
NYEE,AETNA MANAGED CHOICE  POS NET 00357,578,Skin graft except for skin ulcer or cellulitis without CC/MCC,Not Applicable,100% of Medicare,30204,30204,30204
NYEE,EMPIRE HEALTHCHOICE HMO,581,"Other skin, subcutaneous tissue and breast procedures
without CC/MCC",Not Applicable,100% of Medicare,54037,27405,54037
NYEE,OXFORD HEALTH INSURANCE INC FREEDOM,581,"Other skin, subcutaneous tissue and breast procedures
without CC/MCC",Not Applicable,100% of Medicare,27405,27405,54037
NYEE,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",584,"Breast biopsy, local excision and other breast procedures
with CC/MCC",Not Applicable,100% of Medicare,54137,54137,54137
NYEE,AETNA AETNA CHOICE  POS II NET 00357,585,"Breast biopsy, local excision and other breast procedures
without CC/MCC",Not Applicable,100% of Medicare,30120,30120,39776
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,585,"Breast biopsy, local excision and other breast procedures
without CC/MCC",Not Applicable,100% of Medicare,39776,30120,39776
NYEE,EH FACET EFT,645,Endocrine disorders without CC/MCC,Not Applicable,100% of Medicare,55716,55716,55716
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES CHOYC+,664,Minor bladder procedures without CC/MCC,Not Applicable,100% of Medicare,24162,7755,24162
NYEE,EH FACET EFT,664,Minor bladder procedures without CC/MCC,Not Applicable,100% of Medicare,7755,7755,24162
NYEE,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",664,Minor bladder procedures without CC/MCC,Not Applicable,100% of Medicare,15380,7755,24162
NYEE,UNITEDHEALTHCARE INSURANCE COMPANY AND ITS AFFILIATES SEL+POS,672,Urethral procedures without CC/MCC,Not Applicable,100% of Medicare,23255,23255,23255
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,22357,7496,34181
NYEE,UNITEDHEALTHCARE OF PENNSYLVANIA INC PA MEDICAID HEALTHY PLUS WITH COPAY AND LIMITS GS,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,11684,7496,34181
NYEE,NYSDOH,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,7496,7496,34181
NYEE,MVP Health Plan Not Assigned,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,23114,7496,34181
NYEE,EH FACET EFT,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,22357,7496,34181
NYEE,METROPLUS ESSENTIAL PLAN,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,34181,7496,34181
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES TRANS WITH BH,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,22156,7496,34181
NYEE,METROPLUS HEALTH PLAN,740,"Uterine and adnexa procedures for non-ovarian and
non-adnexal malignancy with CC",Not Applicable,100% of Medicare,21909,7496,34181
NYEE,UNITEDHEALTHCARE OF NEW YORK INC NY COMMUNITY PLAN FOR FAMILIES WITH BH,791,Prematurity with major problems,Not Applicable,100% of Medicare,7681,7681,7681
