US News Ranking,Hospital Name,Billing Code Type,DRG Number,DRG Description,Payor,Plan,Charge Amount
7,New York-Presbyterian Hospital,MSDRG,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,Gross Charge,Gross Charges,2949971.0205406253
7,New York-Presbyterian Hospital,MSDRG,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,Gross Charge,Gross Charges,1823295.004966667
7,New York-Presbyterian Hospital,MSDRG,3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",Gross Charge,Gross Charges,2417893.853120948
7,New York-Presbyterian Hospital,MSDRG,4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",Gross Charge,Gross Charges,1893480.771404851
7,New York-Presbyterian Hospital,MSDRG,5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,Gross Charge,Gross Charges,864279.6744913381
7,New York-Presbyterian Hospital,MSDRG,6,LIVER TRANSPLANT WITHOUT MCC,Gross Charge,Gross Charges,488547.3933931036
7,New York-Presbyterian Hospital,MSDRG,7,LUNG TRANSPLANT,Gross Charge,Gross Charges,965191.6106052634
7,New York-Presbyterian Hospital,MSDRG,8,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,Gross Charge,Gross Charges,732262.4043818181
7,New York-Presbyterian Hospital,MSDRG,10,PANCREAS TRANSPLANT,Gross Charge,Gross Charges,380742.5191000001
7,New York-Presbyterian Hospital,MSDRG,11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",Gross Charge,Gross Charges,464070.7917689657
7,New York-Presbyterian Hospital,MSDRG,12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",Gross Charge,Gross Charges,319081.90195
7,New York-Presbyterian Hospital,MSDRG,13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",Gross Charge,Gross Charges,274634.6209
7,New York-Presbyterian Hospital,MSDRG,14,ALLOGENEIC BONE MARROW TRANSPLANT,Gross Charge,Gross Charges,1120285.9080142858
7,New York-Presbyterian Hospital,MSDRG,16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,Gross Charge,Gross Charges,502294.6729486489
7,New York-Presbyterian Hospital,MSDRG,18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL IMMUNOTHERAPY,Gross Charge,Gross Charges,1535353.7764285717
7,New York-Presbyterian Hospital,MSDRG,19,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,Gross Charge,Gross Charges,671720.4056000002
7,New York-Presbyterian Hospital,MSDRG,20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,Gross Charge,Gross Charges,426240.560090909
7,New York-Presbyterian Hospital,MSDRG,21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,Gross Charge,Gross Charges,364762.0402923077
7,New York-Presbyterian Hospital,MSDRG,22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,Gross Charge,Gross Charges,254244.49225
7,New York-Presbyterian Hospital,MSDRG,23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,Gross Charge,Gross Charges,541530.3385963304
7,New York-Presbyterian Hospital,MSDRG,24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,Gross Charge,Gross Charges,257594.9290521739
7,New York-Presbyterian Hospital,MSDRG,25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,Gross Charge,Gross Charges,312287.4586060502
7,New York-Presbyterian Hospital,MSDRG,26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,Gross Charge,Gross Charges,189240.5293579399
7,New York-Presbyterian Hospital,MSDRG,27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,134328.5370623134
7,New York-Presbyterian Hospital,MSDRG,28,SPINAL PROCEDURES WITH MCC,Gross Charge,Gross Charges,338227.0462938776
7,New York-Presbyterian Hospital,MSDRG,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,Gross Charge,Gross Charges,178406.8339989796
7,New York-Presbyterian Hospital,MSDRG,30,SPINAL PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,123977.2376661291
7,New York-Presbyterian Hospital,MSDRG,31,VENTRICULAR SHUNT PROCEDURES WITH MCC,Gross Charge,Gross Charges,285928.4728814815
7,New York-Presbyterian Hospital,MSDRG,32,VENTRICULAR SHUNT PROCEDURES WITH CC,Gross Charge,Gross Charges,132137.4445411765
7,New York-Presbyterian Hospital,MSDRG,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,109749.4952882353
7,New York-Presbyterian Hospital,MSDRG,34,CAROTID ARTERY STENT PROCEDURES WITH MCC,Gross Charge,Gross Charges,252287.2215
7,New York-Presbyterian Hospital,MSDRG,35,CAROTID ARTERY STENT PROCEDURES WITH CC,Gross Charge,Gross Charges,185708.3287142857
7,New York-Presbyterian Hospital,MSDRG,36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,115811.0291333333
7,New York-Presbyterian Hospital,MSDRG,37,EXTRACRANIAL PROCEDURES WITH MCC,Gross Charge,Gross Charges,299504.9701529411
7,New York-Presbyterian Hospital,MSDRG,38,EXTRACRANIAL PROCEDURES WITH CC,Gross Charge,Gross Charges,189431.6308192308
7,New York-Presbyterian Hospital,MSDRG,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,154162.312425
7,New York-Presbyterian Hospital,MSDRG,40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",Gross Charge,Gross Charges,325413.540134091
7,New York-Presbyterian Hospital,MSDRG,41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR",Gross Charge,Gross Charges,173820.0593214286
7,New York-Presbyterian Hospital,MSDRG,42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",Gross Charge,Gross Charges,118731.9367793104
7,New York-Presbyterian Hospital,MSDRG,52,SPINAL DISORDERS AND INJURIES WITH CC/MCC,Gross Charge,Gross Charges,160407.8052333333
7,New York-Presbyterian Hospital,MSDRG,53,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,Gross Charge,Gross Charges,131756.7201833333
7,New York-Presbyterian Hospital,MSDRG,54,NERVOUS SYSTEM NEOPLASMS WITH MCC,Gross Charge,Gross Charges,177705.0782919255
7,New York-Presbyterian Hospital,MSDRG,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,Gross Charge,Gross Charges,122030.8668488889
7,New York-Presbyterian Hospital,MSDRG,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,Gross Charge,Gross Charges,196149.4340665157
7,New York-Presbyterian Hospital,MSDRG,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,Gross Charge,Gross Charges,130490.4050347826
7,New York-Presbyterian Hospital,MSDRG,58,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,Gross Charge,Gross Charges,317682.5363333333
7,New York-Presbyterian Hospital,MSDRG,59,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,Gross Charge,Gross Charges,132051.6893422223
7,New York-Presbyterian Hospital,MSDRG,60,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,Gross Charge,Gross Charges,88927.5533872341
7,New York-Presbyterian Hospital,MSDRG,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC",Gross Charge,Gross Charges,219079.5829486486
7,New York-Presbyterian Hospital,MSDRG,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC",Gross Charge,Gross Charges,159760.1770333333
7,New York-Presbyterian Hospital,MSDRG,63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC",Gross Charge,Gross Charges,104261.0647086957
7,New York-Presbyterian Hospital,MSDRG,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,Gross Charge,Gross Charges,192627.1787753623
7,New York-Presbyterian Hospital,MSDRG,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,Gross Charge,Gross Charges,108091.7675792495
7,New York-Presbyterian Hospital,MSDRG,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,Gross Charge,Gross Charges,87633.1284946903
7,New York-Presbyterian Hospital,MSDRG,67,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,Gross Charge,Gross Charges,238486.7895
7,New York-Presbyterian Hospital,MSDRG,68,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,Gross Charge,Gross Charges,95417.750225
7,New York-Presbyterian Hospital,MSDRG,69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,Gross Charge,Gross Charges,66349.0217123288
7,New York-Presbyterian Hospital,MSDRG,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,Gross Charge,Gross Charges,151804.9596946428
7,New York-Presbyterian Hospital,MSDRG,71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,Gross Charge,Gross Charges,100023.7186727273
7,New York-Presbyterian Hospital,MSDRG,72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,Gross Charge,Gross Charges,66814.5354888889
7,New York-Presbyterian Hospital,MSDRG,73,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,Gross Charge,Gross Charges,157608.1158225352
7,New York-Presbyterian Hospital,MSDRG,74,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,Gross Charge,Gross Charges,100023.3791760204
7,New York-Presbyterian Hospital,MSDRG,75,VIRAL MENINGITIS WITH CC/MCC,Gross Charge,Gross Charges,152944.7126125
7,New York-Presbyterian Hospital,MSDRG,76,VIRAL MENINGITIS WITHOUT CC/MCC,Gross Charge,Gross Charges,44376.6039833333
7,New York-Presbyterian Hospital,MSDRG,77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,Gross Charge,Gross Charges,63811.7576333333
7,New York-Presbyterian Hospital,MSDRG,78,HYPERTENSIVE ENCEPHALOPATHY WITH CC,Gross Charge,Gross Charges,137711.517175
7,New York-Presbyterian Hospital,MSDRG,79,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,Gross Charge,Gross Charges,48755.6806333333
7,New York-Presbyterian Hospital,MSDRG,80,NONTRAUMATIC STUPOR AND COMA WITH MCC,Gross Charge,Gross Charges,172630.8254
7,New York-Presbyterian Hospital,MSDRG,81,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,Gross Charge,Gross Charges,111387.86242
7,New York-Presbyterian Hospital,MSDRG,82,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,Gross Charge,Gross Charges,221487.2604757575
7,New York-Presbyterian Hospital,MSDRG,83,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,Gross Charge,Gross Charges,120624.075603125
7,New York-Presbyterian Hospital,MSDRG,84,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,Gross Charge,Gross Charges,79066.5300666667
7,New York-Presbyterian Hospital,MSDRG,85,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,Gross Charge,Gross Charges,190243.2125593221
7,New York-Presbyterian Hospital,MSDRG,86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,Gross Charge,Gross Charges,98463.614565625
7,New York-Presbyterian Hospital,MSDRG,87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,Gross Charge,Gross Charges,61949.2764
7,New York-Presbyterian Hospital,MSDRG,88,CONCUSSION WITH MCC,Gross Charge,Gross Charges,71936.0821666667
7,New York-Presbyterian Hospital,MSDRG,89,CONCUSSION WITH CC,Gross Charge,Gross Charges,58504.3793
7,New York-Presbyterian Hospital,MSDRG,90,CONCUSSION WITHOUT CC/MCC,Gross Charge,Gross Charges,26908.16205
7,New York-Presbyterian Hospital,MSDRG,91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,Gross Charge,Gross Charges,181556.0852308197
7,New York-Presbyterian Hospital,MSDRG,92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,Gross Charge,Gross Charges,138862.1116371519
7,New York-Presbyterian Hospital,MSDRG,93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,Gross Charge,Gross Charges,101734.5834027272
7,New York-Presbyterian Hospital,MSDRG,94,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,Gross Charge,Gross Charges,348819.9111434783
7,New York-Presbyterian Hospital,MSDRG,95,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,Gross Charge,Gross Charges,205971.289426087
7,New York-Presbyterian Hospital,MSDRG,96,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,Gross Charge,Gross Charges,144406.3523222223
7,New York-Presbyterian Hospital,MSDRG,97,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,Gross Charge,Gross Charges,398894.7729617647
7,New York-Presbyterian Hospital,MSDRG,98,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,Gross Charge,Gross Charges,187965.7605804878
7,New York-Presbyterian Hospital,MSDRG,99,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,Gross Charge,Gross Charges,112081.1777269231
7,New York-Presbyterian Hospital,MSDRG,100,SEIZURES WITH MCC,Gross Charge,Gross Charges,188113.1106992395
7,New York-Presbyterian Hospital,MSDRG,101,SEIZURES WITHOUT MCC,Gross Charge,Gross Charges,73652.6682943396
7,New York-Presbyterian Hospital,MSDRG,102,HEADACHES WITH MCC,Gross Charge,Gross Charges,113005.0696384615
7,New York-Presbyterian Hospital,MSDRG,103,HEADACHES WITHOUT MCC,Gross Charge,Gross Charges,67353.5406013793
7,New York-Presbyterian Hospital,MSDRG,113,ORBITAL PROCEDURES WITH CC/MCC,Gross Charge,Gross Charges,312377.0960375001
7,New York-Presbyterian Hospital,MSDRG,114,ORBITAL PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,79410.5162142857
7,New York-Presbyterian Hospital,MSDRG,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,Gross Charge,Gross Charges,143495.3656166667
7,New York-Presbyterian Hospital,MSDRG,116,INTRAOCULAR PROCEDURES WITH CC/MCC,Gross Charge,Gross Charges,360049.4924722222
7,New York-Presbyterian Hospital,MSDRG,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,Gross Charge,Gross Charges,57951.093
7,New York-Presbyterian Hospital,MSDRG,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,Gross Charge,Gross Charges,85211.795975
