USNWR Rank,file_create_date,name,code,code type,code description,payer,gross charge,de-identified minimum negotiated charge,payer-specific negotiated charge,de-identified maximum negotiated charge,discounted cash price
17 (tie),8/30/2021,Barnes-Jewish Hospital,1,ms-drg,heart transplant or implant of heart assist system with mcc,TRNPLT OPTUM,759974.57,35033.4,225903.73,369533.6,455984.74
17 (tie),8/30/2021,Barnes-Jewish Hospital,3,ms-drg,"ecmo or tracheostomy with mv >96 hours or principal diagnosis except face, mouth and neck with major o.r. procedures",ACCESS CHOICE PPO,465368.33,61440.88,338303.47,823754.2,279221
17 (tie),8/30/2021,Barnes-Jewish Hospital,3,ms-drg,"ecmo or tracheostomy with mv >96 hours or principal diagnosis except face, mouth and neck with major o.r. procedures",BL CHOICE PRF PPO IL,465368.33,61440.88,823754.2,823754.2,279221
17 (tie),8/30/2021,Barnes-Jewish Hospital,3,ms-drg,"ecmo or tracheostomy with mv >96 hours or principal diagnosis except face, mouth and neck with major o.r. procedures",UHC COMMUNITY PLAN,465368.33,61440.88,61440.88,823754.2,279221
17 (tie),8/30/2021,Barnes-Jewish Hospital,4,ms-drg,"tracheostomy with mv >96 hours or principal diagnosis except face, mouth and neck without major o.r. procedures",ACCESS CHOICE PPO,312805.34,76386.64,277191.11,277191.11,187683.2
17 (tie),8/30/2021,Barnes-Jewish Hospital,4,ms-drg,"tracheostomy with mv >96 hours or principal diagnosis except face, mouth and neck without major o.r. procedures",TRICARE,312805.34,76386.64,76386.64,277191.11,187683.2
17 (tie),8/30/2021,Barnes-Jewish Hospital,5,ms-drg,liver transplant with mcc or intestinal transplant,TRNPLT OPTUM,264977.32,107108.83,107108.83,107108.83,158986.39
17 (tie),8/30/2021,Barnes-Jewish Hospital,12,ms-drg,"tracheostomy for face, mouth and neck diagnoses or laryngectomy with cc",ACCESS PPO,116445.43,47312,68262.8,68262.8,69867.26
17 (tie),8/30/2021,Barnes-Jewish Hospital,12,ms-drg,"tracheostomy for face, mouth and neck diagnoses or laryngectomy with cc",CONNECT NETWORK,116445.43,47312,59689.68,68262.8,69867.26
17 (tie),8/30/2021,Barnes-Jewish Hospital,12,ms-drg,"tracheostomy for face, mouth and neck diagnoses or laryngectomy with cc",UHC,116445.43,47312,47312,68262.8,69867.26
