USNWR Rank,file date,Hospital,MS-DRG,MS-DRG TITLE,"DE-IDENTIFIED
MIN","DE-IDENTIFIED
MAX","Aetna Commercial A  VW
RATE","Aetna Commercial P
RATE","Aetna VHAN A VW
RATE","Aetna VHAN P
RATE","Aetna AWH A VW
RATE","Aetna AWH P
RATE","Aetna TN Preferred A VW
RATE","Aetna TN Preferred B
RATE","BLUE CROSS BLUE SHIELD OF TENNESSEE - P VUMC
RATE","CIGNA VUMCAO
RATE","HUMANA VUMCP
RATE","HUMANA VUMC
RATE","UNITED HEALTHCARE Comm
A",Aetna TRANSPLANT RATES MIN,Aetna TRANSPLANT RATES MAX,Humana NTN TRANSPLANT RATES MIN,Humana NTN TRANSPLANT RATES MAX,Optum TRANSPLANT RATES MIN,Optum TRANSPLANT RATES MAX,Wellcare of TN @100% TRANSPLANT RATES,BCBS MA @105% TRANSPLANT RATES,BCBS DSNP @105% TRANSPLANT RATES,VA CCN @100% TRANSPLANT RATES,Humana MA @ 100% TRANSPLANT RATES
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,"$93,600.00 ","$630,077.82 ",,,,,,,,,"$458,790.20 ","$452,347.97 ","$622,994.69 ","$479,791.24 ","$505,991.33 ","$229,782.00 ","$276,118.00 ","$174,454.00 ","$174,454.00 ","$93,600.00 ","$260,572.00 ","$234,906.96 ","$246,652.31 ","$246,652.31 ","$234,906.96 ","$234,906.96 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,"$89,133.95 ","$394,541.36 ",,,,,,,,,"$323,046.01 ","$248,794.43 ","$342,651.28 ","$263,888.41 ","$278,298.64 ","$229,782.00 ","$276,118.00 ","$174,454.00 ","$174,454.00 ","$93,600.00 ","$260,572.00 ","$129,200.41 ","$135,660.43 ","$135,660.43 ","$129,200.41 ","$129,200.41 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES","$88,669.45 ","$539,099.85 ","$290,127.03 ","$378,245.74 ","$209,376.88 ","$276,016.65 ","$206,661.15 ","$272,408.34 ","$256,360.86 ","$334,243.36 ","$441,408.87 ","$296,584.01 ","$408,469.31 ","$314,577.32 ","$331,755.53 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES","$49,972.97 ","$347,552.08 ","$181,215.77 ","$236,255.45 ","$130,778.55 ","$172,402.31 ","$129,082.28 ","$170,148.53 ","$160,125.14 ","$208,771.20 ","$284,571.72 ","$185,248.85 ","$255,133.35 ","$196,487.62 ","$207,217.28 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,"$57,199.36 ","$257,254.00 ",,,,,,,,,,"$159,657.28 ","$219,887.44 ","$169,343.44 ","$178,590.83 ","$246,432.00 ","$257,254.00 ","$123,806.00 ","$180,081.00 ","$157,513.00 ","$195,461.00 ","$82,910.96 ","$87,056.51 ","$87,056.51 ","$82,910.96 ","$82,910.96 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,6,LIVER TRANSPLANT WITHOUT MCC,"$26,250.06 ","$234,927.00 ",,,,,,,,,,"$73,270.28 ","$100,911.24 ","$77,715.48 ","$81,959.31 ",,,,,"$157,513.00 ","$195,461.00 ","$38,049.69 ","$39,952.17 ","$39,952.17 ","$38,049.69 ","$38,049.69 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,7,LUNG TRANSPLANT,"$64,758.21 ","$251,775.75 ",,,,,,,,,,"$180,755.84 ","$248,945.37 ","$191,722.03 ","$202,191.45 ",,,"$152,982.00 ","$174,806.00 ","$161,878.00 ","$186,361.00 ","$93,867.57 ","$98,560.95 ","$98,560.95 ","$93,867.57 ","$93,867.57 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,8,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,"$30,362.95 ","$161,262.00 ",,,,,,,,,,"$84,750.34 ","$116,722.11 ","$89,892.01 ","$94,800.77 ",,,"$123,806.00 ","$123,806.00 ","$110,923.00 ","$110,923.00 ","$44,011.35 ","$46,211.92 ","$46,211.92 ","$44,011.35 ","$44,011.35 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,10,PANCREAS TRANSPLANT,"$20,241.03 ","$155,652.00 ",,,,,,,,,,"$56,497.62 ","$77,811.16 ","$59,925.25 ","$63,197.60 ",,,"$106,924.00 ","$106,924.00 ","$155,652.00 ","$155,652.00 ","$29,339.55 ","$30,806.53 ","$30,806.53 ","$29,339.55 ","$29,339.55 "
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC","$19,280.83 ","$109,121.75 ","$76,635.54 ","$99,911.64 ","$55,305.81 ","$72,908.36 ","$54,588.46 ","$71,955.24 ","$67,716.38 ","$88,288.64 ","$84,457.35 ","$78,341.12 ","$107,895.04 ","$83,093.96 ","$87,631.49 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC","$15,092.99 ","$83,355.32 ","$58,539.94 ","$76,319.95 ","$42,246.70 ","$55,692.83 ","$41,698.74 ","$54,964.77 ","$51,726.82 ","$67,441.44 ","$66,112.99 ","$59,842.78 ","$82,418.27 ","$63,473.35 ","$66,939.46 ",,,,,,,,,,,
20,Standard Charges 12/20/21,VANDERBILT UNIVERSITY MEDICAL CENTER,13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC","$11,556.53 ","$66,541.42 ","$41,561.08 ","$54,184.20 ","$29,993.51 ","$39,539.75 ","$29,604.48 ","$39,022.85 ","$36,724.03 ","$47,880.80 ","$54,483.36 ","$42,486.05 ","$58,513.77 ","$45,063.61 ","$47,524.41 ",,,,,,,,,,,
