Description,"Code 
Type","CPT/HCPCS 
DRG Code","Code
CDM/ERX/SUP",NDC,"Revenue
Code",Quantity,IP XR Aetna,IP XR Anthem,"IP XR
Blue Shield","IP XR
Cigna","IP XR
Health Net","IP XR
Kaiser","IP XR
United",Min,Max
Heart transplant or implant of heart assist system,DRG,MS-DRG V37 (FY2020) 001,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,1129072.495,Variable,Variable
Heart transplant or implant of heart assist system,DRG,MS-DRG V37 (FY2020) 002,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,545434.3683,Variable,Variable
"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R.",DRG,MS-DRG V37 (FY2020) 003,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,709253.4825,Variable,Variable
"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R.",DRG,MS-DRG V37 (FY2020) 004,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,439008.3665,Variable,Variable
Liver transplant,DRG,MS-DRG V37 (FY2020) 005,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,680656.4782,Variable,Variable
Liver transplant,DRG,MS-DRG V37 (FY2020) 006,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,370854.1394,Variable,Variable
Lung transplant,DRG,MS-DRG V37 (FY2020) 007,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,441329.6909,Variable,Variable
Simultaneous pancreas/kidney transplant,DRG,MS-DRG V37 (FY2020) 008,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,374770.9801,Variable,Variable
Pancreas transplant,DRG,MS-DRG V37 (FY2020) 010,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,327654.2362,Variable,Variable
"Tracheostomy for face,mouth & neck diagnoses",DRG,MS-DRG V37 (FY2020) 011,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,199966.1461,Variable,Variable
"Tracheostomy for face,mouth & neck diagnoses",DRG,MS-DRG V37 (FY2020) 012,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,179384.3798,Variable,Variable
"Tracheostomy for face,mouth & neck diagnoses",DRG,MS-DRG V37 (FY2020) 013,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,117701.5419,Variable,Variable
Allogeneic bone marrow transplant,DRG,MS-DRG V37 (FY2020) 014,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,443314.8117,Variable,Variable
Autologous bone marrow transplant,DRG,MS-DRG V37 (FY2020) 016,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,503173.8066,Variable,Variable
Intracranial vascular procedures w PDX hemorrhage,DRG,MS-DRG V37 (FY2020) 020,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,313555.488,Variable,Variable
Intracranial vascular procedures w PDX hemorrhage,DRG,MS-DRG V37 (FY2020) 021,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,266288.623,Variable,Variable
Intracranial vascular procedures w PDX hemorrhage,DRG,MS-DRG V37 (FY2020) 022,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,111347.1361,Variable,Variable
Cranio w major dev impl/acute complex CNS PDX,DRG,MS-DRG V37 (FY2020) 023,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,191628.2674,Variable,Variable
